season,date,type,player,position,nfl,from_team,to_team,note
2025,"Aug 31, 3:10 am",add,Wil Lutz,K,Den,Free Agent,Whole lotta Hurts,Free Agent
2025,"Aug 31, 3:11 am",add,Cincinnati,DEF,Cin,Waivers,Grease the Breece,Waiver
2025,"Aug 31, 3:11 am",add,Mike Gesicki,TE,Cin,Waivers,My Ball Zach Ertz,Waiver
2025,"Aug 31, 3:11 am",add,Tre' Harris,WR,LAC,Waivers,Never Starting Najee,Waiver
2025,"Aug 31, 3:26 am",add,Arizona,DEF,Ari,Free Agent,Whole lotta Hurts,Free Agent
2025,"Aug 31, 4:25 am",add,Christian Kirk,WR,Hou,Free Agent,Drake it til you make it,Free Agent
2025,"Aug 31, 6:14 am",add,New England,DEF,NE,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Dec 1, 4:00 am",drop,Michael Wilson,WR,Ari,Waivers,Drake it til you make it,To Waivers
2025,"Dec 10, 3:58 am",add,Jayden Higgins,WR,Hou,Waivers,Whole lotta Hurts,Waiver
2025,"Dec 10, 3:58 am",add,Jaylen Wright,RB,Mia,Waivers,Belichick Daycare Centre,Waiver
2025,"Dec 10, 3:58 am",add,Sam Darnold,QB,Sea,Waivers,Strength of Schedule 49ers,Waiver
2025,"Dec 10, 4:36 am",add,Bears,DEF,Chi,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Dec 10, 4:36 am",add,Chicago,DEF,Chi,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Dec 10, 4:37 am",add,Evan McPherson,K,Cin,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Dec 11, 3:37 pm",add,Theo Johnson,TE,NYG,Free Agent,Whole lotta Hurts,Free Agent
2025,"Dec 12, 3:52 pm",add,Isaiah Likely,TE,Bal,Free Agent,Dak to the Future,Free Agent
2025,"Dec 13, 5:06 pm",drop,Brandon Aiyuk,WR,SF,Waivers,Whole lotta Hurts,To Waivers
2025,"Dec 15, 4:23 pm",drop,Jayden Daniels,QB,Was,Waivers,Dak to the Future,To Waivers
2025,"Dec 16, 4:19 am",drop,Isaiah Likely,TE,Bal,Waivers,Dak to the Future,To Waivers
2025,"Dec 16, 5:07 pm",drop,Bam Knight,RB,Ari,Waivers,Drake it til you make it,To Waivers
2025,"Dec 17, 10:27 am",add,Tee Higgins,WR,Cin,Free Agent,Whole lotta Hurts,Free Agent Added ( by Commissioner )
2025,"Dec 17, 10:41 am",add,Ravens,DEF,Bal,Free Agent,San Franshelfo 49ers,Free Agent
2025,"Dec 17, 10:43 am",add,Philip Rivers,QB,Ind,Free Agent,San Franshelfo 49ers,Free Agent
2025,"Dec 17, 3:55 am",add,Bills,DEF,Buf,Waivers,Strength of Schedule 49ers,Waiver
2025,"Dec 17, 3:55 am",add,Brandon McManus,K,GB,Waivers,Drake it til you make it,Waiver
2025,"Dec 17, 3:55 am",add,Colby Parkinson,TE,LAR,Waivers,Drake it til you make it,Waiver
2025,"Dec 17, 3:55 am",add,Jawhar Jordan,RB,Hou,Waivers,Whole lotta Hurts,Waiver
2025,"Dec 17, 3:55 am",add,Michael Carter,RB,Ari,Waivers,Drake it til you make it,Waiver
2025,"Dec 17, 3:55 am",add,Myles Price,WR,Min,Waivers,Drake it til you make it,Waiver
2025,"Dec 17, 3:55 am",add,Tank Bigsby,RB,Phi,Waivers,Whole lotta Hurts,Waiver
2025,"Dec 19, 4:31 pm",add,Nick Chubb,RB,Hou,Free Agent,Dak to the Future,Free Agent
2025,"Dec 19, 4:35 pm",add,Vikings,DEF,Min,Free Agent,Dak to the Future,Free Agent
2025,"Dec 19, 5:09 pm",add,Jalen Coker,WR,Car,Free Agent,Drake it til you make it,Free Agent
2025,"Dec 2, 11:09 am",drop,Theo Johnson,TE,NYG,Waivers,Whole lotta Hurts,To Waivers
2025,"Dec 21, 5:41 am",add,Audric Estime,RB,NO,Free Agent,Whole lotta Hurts,Free Agent
2025,"Dec 24, 3:59 am",add,Brenton Strange,TE,Jax,Waivers,Drake it til you make it,Waiver
2025,"Dec 24, 3:59 am",add,Dallas Goedert,TE,Phi,Waivers,San Franshelfo 49ers,Waiver
2025,"Dec 24, 3:59 am",add,Giants,DEF,NYG,Waivers,Drake it til you make it,Waiver
2025,"Dec 24, 3:59 am",add,Jacory Croskey-Merritt,RB,Was,Waivers,Dak to the Future,Waiver
2025,"Dec 24, 3:59 am",add,Malik Washington,WR,Mia,Waivers,Dak to the Future,Waiver
2025,"Dec 24, 3:59 am",add,Ray Davis,RB,Buf,Waivers,Dak to the Future,Waiver
2025,"Dec 24, 4:01 am",add,AJ Barner,TE,Sea,Free Agent,Dak to the Future,Free Agent
2025,"Dec 24, 5:54 pm",add,Alec Pierce,WR,Ind,Free Agent,Dak to the Future,Free Agent
2025,"Dec 24, 5:54 pm",add,Dylan Sampson,RB,Cle,Free Agent,Dak to the Future,Free Agent
2025,"Dec 25, 12:49 pm",add,Harrison Mevis,K,LAR,Free Agent,Whole lotta Hurts,Free Agent
2025,"Dec 25, 2:06 pm",add,Dalton Schultz,TE,Hou,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Dec 3, 4:00 pm",drop,Joe Mixon,RB,Hou,Waivers,My Ball Zach Ertz,To Waivers
2025,"Dec 3, 4:20 am",add,Bam Knight,RB,Ari,Waivers,Drake it til you make it,Waiver
2025,"Dec 3, 4:20 am",add,Blake Corum,RB,LAR,Waivers,Strength of Schedule 49ers,Waiver
2025,"Dec 3, 4:20 am",add,Darren Waller,TE,Mia,Waivers,Strength of Schedule 49ers,Waiver
2025,"Dec 3, 4:20 am",add,Devin Singletary,RB,NYG,Waivers,Drake it til you make it,Waiver
2025,"Dec 3, 4:20 am",add,Keaton Mitchell,RB,Bal,Waivers,Dak to the Future,Waiver
2025,"Dec 3, 4:20 am",add,Los Angeles Chargers,DEF,LAC,Waivers,Grease the Breece,Waiver
2025,"Dec 3, 4:20 am",add,Luther Burden III,WR,Chi,Waivers,Whole lotta Hurts,Waiver
2025,"Dec 3, 4:20 am",add,Mike Evans,WR,TB,Waivers,My Ball Zach Ertz,Waiver
2025,"Dec 3, 4:20 am",add,Minnesota,DEF,Min,Waivers,Drake it til you make it,Waiver
2025,"Dec 3, 4:20 am",add,New Orleans,DEF,NO,Waivers,Never Starting Najee,Waiver
2025,"Dec 3, 4:20 am",add,Zach Ertz,TE,Was,Waivers,Belichick Daycare Centre,Waiver
2025,"Dec 3, 4:29 am",add,Adonai Mitchell,WR,NYJ,Free Agent,Belichick Daycare Centre,Free Agent
2025,"Dec 4, 1:25 pm",add,Dallas,DEF,Dal,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Dec 4, 2:53 am",add,Jayden Daniels,QB,Was,Free Agent,Dak to the Future,Free Agent
2025,"Dec 4, 2:56 am",add,Nick Chubb,RB,Hou,Free Agent,Drake it til you make it,Free Agent
2025,"Dec 4, 3:40 am",add,Mason Taylor,TE,NYJ,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Dec 4, 4:55 pm",add,Myles Price,WR,Min,Free Agent,Dak to the Future,Free Agent
2025,"Dec 6, 3:25 am",add,Michael Wilson,WR,Ari,Free Agent,Drake it til you make it,Free Agent
2025,"Dec 6, 3:48 am",add,Colston Loveland,TE,Chi,Waivers,Dak to the Future,Waiver
2025,"Dec 7, 11:08 am",add,Harrison Butker,K,KC,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Dec 7, 12:38 pm",add,Tyjae Spears,RB,Ten,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Dec 7, 3:15 am",add,Troy Franklin,WR,Den,Waivers,The Flea Flickers,Waiver
2025,"Dec 7, 9:49 am",add,Chiefs,DEF,KC,Free Agent,Drake it til you make it,Free Agent
2025,"Dec 7, 9:49 am",add,Kansas City,DEF,KC,Free Agent,Drake it til you make it,Free Agent
2025,"Dec 9, 4:29 am",drop,Daniel Jones,QB,Ind,Waivers,Strength of Schedule 49ers,To Waivers
2025,"Nov 1, 12:04 pm",add,Emanuel Wilson,RB,GB,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 1, 3:27 am",add,Indianapolis,DEF,Ind,Waivers,My Ball Zach Ertz,Waiver
2025,"Nov 1, 3:27 am",add,Zach Ertz,TE,Was,Waivers,Dak to the Future,Waiver
2025,"Nov 10, 11:34 am",drop,DeMario Douglas,WR,NE,Waivers,Whole lotta Hurts,To Waivers
2025,"Nov 11, 7:48 am",drop,Cairo Santos,K,Chi,Waivers,Dak to the Future,To Waivers
2025,"Nov 11, 8:09 am",drop,Isiah Pacheco,RB,KC,Waivers,Drake it til you make it,To Waivers
2025,"Nov 12, 11:34 am",add,C.J. Stroud,QB,Hou,Free Agent,Never Starting Najee,Free Agent
2025,"Nov 12, 1:37 am",drop,Greg Dortch,WR,Ari,Waivers,Whole lotta Hurts,To Waivers
2025,"Nov 12, 3:55 am",add,Atlanta,DEF,Atl,Waivers,Drake it til you make it,Waiver
2025,"Nov 12, 3:55 am",add,Cam Little,K,Jax,Waivers,Belichick Daycare Centre,Waiver
2025,"Nov 12, 3:55 am",add,Dalton Schultz,TE,Hou,Waivers,Whole lotta Hurts,Waiver
2025,"Nov 12, 3:55 am",add,Green Bay,DEF,GB,Waivers,Grease the Breece,Waiver
2025,"Nov 12, 3:55 am",add,Jacory Croskey-Merritt,RB,Was,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 12, 3:55 am",add,Mack Hollins,WR,NE,Waivers,Unsolicited Nix Pics,Waiver
2025,"Nov 12, 3:55 am",add,San Francisco,DEF,SF,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 12, 3:55 am",add,Tez Johnson,WR,TB,Waivers,Dak to the Future,Waiver
2025,"Nov 12, 4:02 am",add,Jayden Reed,WR,GB,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 12, 8:48 am",add,Theo Johnson,TE,NYG,Free Agent,Whole lotta Hurts,Free Agent
2025,"Nov 13, 10:29 pm",add,Miami,DEF,Mia,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Nov 13, 1:56 pm",add,Los Angeles Chargers,DEF,LAC,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Nov 13, 3:54 am",transaction,Grease the Breece,,,,,
2025,"Nov 13, 3:54 am",drop,Harrison Butker,K,KC,Waivers,The Flea Flickers,To Waivers
2025,"Nov 13, 3:54 am",transaction,Kenneth Walker III,RB,Sea,,,
2025,"Nov 13, 3:54 am",transaction,Tetairoa McMillan,WR,Car,,,
2025,"Nov 13, 3:54 am",transaction,Whole lotta Hurts,,,,,
2025,"Nov 14, 3:43 am",add,Isiah Pacheco,RB,KC,Waivers,San Franshelfo 49ers,Waiver
2025,"Nov 14, 3:44 am",add,Greg Dortch,WR,Ari,Free Agent,The Flea Flickers,Free Agent
2025,"Nov 15, 2:21 am",add,Chris Rodriguez Jr.,RB,Was,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 15, 2:21 am",add,Daniel Carlson,K,LV,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 15, 3:12 am",add,Tank Bigsby,RB,Phi,Waivers,Unsolicited Nix Pics,Waiver
2025,"Nov 15, 4:17 pm",add,Pat Freiermuth,TE,Pit,Free Agent,San Franshelfo 49ers,Free Agent
2025,"Nov 15, 5:36 am",add,Dallas,DEF,Dal,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 16, 11:46 am",add,Aaron Rodgers,QB,Pit,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Nov 16, 3:27 am",drop,J.K. Dobbins,RB,Den,Waivers,Unsolicited Nix Pics,To Waivers
2025,"Nov 16, 8:28 am",add,Matt Prater,K,Buf,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Nov 18, 1:42 pm",drop,Aaron Rodgers,QB,Pit,Waivers,Strength of Schedule 49ers,To Waivers
2025,"Nov 18, 3:27 am",add,Ricky Pearsall,WR,SF,Free Agent,Whole lotta Hurts,Trade
2025,"Nov 18, 3:27 am",add,Tetairoa McMillan,WR,Car,Free Agent,Unsolicited Nix Pix,Trade
2025,"Nov 18, 4:21 am",drop,Calvin Ridley,WR,Ten,Waivers,Unsolicited Nix Pics,To Waivers
2025,"Nov 18, 4:21 am",drop,Marcus Mariota,QB,Was,Waivers,Unsolicited Nix Pics,To Waivers
2025,"Nov 18, 5:23 pm",drop,Theo Johnson,TE,NYG,Waivers,Whole lotta Hurts,To Waivers
2025,"Nov 19, 1:08 pm",add,Michael Wilson,WR,Ari,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 19, 3:57 am",add,Bam Knight,RB,Ari,Waivers,Drake it til you make it,Waiver
2025,"Nov 19, 3:57 am",add,Chris Godwin Jr.,WR,TB,Waivers,San Franshelfo 49ers,Waiver
2025,"Nov 19, 3:57 am",add,Christian Watson,WR,GB,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 19, 3:57 am",add,Cleveland,DEF,Cle,Waivers,Whole lotta Hurts,Waiver
2025,"Nov 19, 3:57 am",add,Emanuel Wilson,RB,GB,Waivers,Unsolicited Nix Pics,Waiver
2025,"Nov 19, 3:57 am",add,Harold Fannin Jr.,TE,Cle,Waivers,Grease the Breece,Waiver
2025,"Nov 19, 3:57 am",add,Myles Price,WR,Min,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 19, 3:58 am",add,Buffalo,DEF,Buf,Free Agent,Belichick Daycare Centre,Free Agent
2025,"Nov 19, 4:46 am",add,Jacoby Brissett,QB,Ari,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 2, 9:04 am",add,Jacoby Brissett,QB,Ari,Free Agent,Whole lotta Hurts,Free Agent
2025,"Nov 20, 2:04 pm",add,Detroit,DEF,Det,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 20, 2:18 pm",add,Andy Borregales,K,NE,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Nov 20, 2:19 pm",add,Jacksonville,DEF,Jax,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Nov 20, 2:38 pm",add,Las Vegas,DEF,LV,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Nov 20, 2:59 pm",add,Kyle Pitts Sr.,TE,Atl,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Nov 20, 3:00 pm",add,Philadelphia,DEF,Phi,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Nov 20, 3:27 am",add,Ashton Jeanty,RB,LV,Free Agent,Grease the Breece,Trade
2025,"Nov 20, 3:27 am",add,Justin Herbert,QB,LAC,Free Agent,Unsolicited Nix Pix,Trade
2025,"Nov 20, 3:27 am",add,Saquon Barkley,RB,Phi,Free Agent,Whole lotta Hurts,Trade
2025,"Nov 20, 3:27 am",add,Travis Kelce,TE,KC,Free Agent,San Franshelfo 49ers,Trade
2025,"Nov 20, 3:27 am",add,Tyler Allgeier,RB,Atl,Free Agent,Unsolicited Nix Pix,Trade
2025,"Nov 20, 5:00 am",add,Keaton Mitchell,RB,Bal,Free Agent,Dak to the Future,Free Agent
2025,"Nov 21, 3:31 am",transaction,Justin Herbert,QB,LAC,,,
2025,"Nov 21, 3:31 am",transaction,San Franshelfo 49ers,,,,,
2025,"Nov 21, 9:06 am",add,Tyjae Spears,RB,Ten,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 22, 3:35 am",add,Devin Singletary,RB,NYG,Waivers,Dak to the Future,Waiver
2025,"Nov 22, 3:35 am",transaction,Grease the Breece,,,,,
2025,"Nov 22, 3:35 am",transaction,Saquon Barkley,RB,Phi,,,
2025,"Nov 23, 6:07 am",add,Cairo Santos,K,Chi,Free Agent,Never Starting Najee,Free Agent
2025,"Nov 26, 3:55 am",add,Brenton Strange,TE,Jax,Waivers,Drake it til you make it,Waiver
2025,"Nov 26, 3:55 am",add,Devin Neal,RB,NO,Waivers,Never Starting Najee,Waiver
2025,"Nov 26, 3:55 am",add,Dylan Sampson,RB,Cle,Waivers,Dak to the Future,Waiver
2025,"Nov 26, 3:55 am",add,Jayden Higgins,WR,Hou,Waivers,Whole lotta Hurts,Waiver
2025,"Nov 26, 3:55 am",add,John Metchie III,WR,NYJ,Waivers,Belichick Daycare Centre,Waiver
2025,"Nov 26, 3:55 am",add,Ka'imi Fairbairn,K,Hou,Waivers,San Franshelfo 49ers,Waiver
2025,"Nov 26, 3:55 am",add,Keenan Allen,WR,LAC,Waivers,San Franshelfo 49ers,Waiver
2025,"Nov 26, 3:55 am",add,Los Angeles Rams,DEF,LAR,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 26, 3:55 am",add,Mike Gesicki,TE,Cin,Waivers,Drake it til you make it,Waiver
2025,"Nov 26, 3:55 am",add,Ray Davis,RB,Buf,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 26, 3:55 am",add,San Francisco,DEF,SF,Waivers,Grease the Breece,Waiver
2025,"Nov 26, 4:57 am",add,Indianapolis,DEF,Ind,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 26, 4:57 am",drop,Jayden Daniels,QB,Was,Waivers,Unsolicited Nix Pics,To Waivers
2025,"Nov 27, 12:49 pm",drop,Mason Taylor,TE,NYJ,Waivers,PAT's the way uh-huh I like it,To Waivers
2025,"Nov 28, 12:19 pm",add,Cameron Dicker,K,LAC,Free Agent,Never Starting Najee,Free Agent
2025,"Nov 29, 12:46 pm",add,Theo Johnson,TE,NYG,Free Agent,Whole lotta Hurts,Free Agent
2025,"Nov 3, 4:41 am",add,Harold Fannin Jr.,TE,Cle,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 5, 11:07 pm",add,Brian Robinson Jr.,RB,SF,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 5, 12:51 pm",add,Ray Davis,RB,Buf,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Nov 5, 12:58 pm",add,Rachaad White,RB,TB,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Nov 5, 1:43 pm",add,Carolina,DEF,Car,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Nov 5, 3:03 pm",add,Darius Slayton,WR,NYG,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 5, 3:04 pm",add,Juwan Johnson,TE,NO,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 5, 3:05 pm",add,Tre Tucker,WR,LV,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 5, 3:05 pm",add,Ty Johnson,RB,Buf,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 5, 3:06 pm",add,Buffalo,DEF,Buf,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Nov 5, 3:44 am",add,Alec Pierce,WR,Ind,Waivers,Whole lotta Hurts,Waiver
2025,"Nov 5, 3:44 am",add,Baltimore,DEF,Bal,Waivers,Never Starting Najee,Waiver
2025,"Nov 5, 3:44 am",add,Bryce Young,QB,Car,Waivers,My Ball Zach Ertz,Waiver
2025,"Nov 5, 3:44 am",add,Chase McLaughlin,K,TB,Waivers,The Flea Flickers,Waiver
2025,"Nov 5, 3:44 am",add,Cleveland,DEF,Cle,Waivers,Drake it til you make it,Waiver
2025,"Nov 5, 3:44 am",add,Colston Loveland,TE,Chi,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 5, 3:44 am",add,Devin Singletary,RB,NYG,Waivers,Drake it til you make it,Waiver
2025,"Nov 5, 3:44 am",add,Emari Demercado,RB,Ari,Waivers,My Ball Zach Ertz,Waiver
2025,"Nov 5, 3:44 am",add,J.J. McCarthy,QB,Min,Waivers,Never Starting Najee,Waiver
2025,"Nov 5, 3:44 am",add,Luke Musgrave,TE,GB,Waivers,San Franshelfo 49ers,Waiver
2025,"Nov 5, 3:44 am",add,Tampa Bay,DEF,TB,Waivers,Dak to the Future,Waiver
2025,"Nov 5, 3:58 pm",add,Trevor Lawrence,QB,Jax,Free Agent,Grease the Breece,Free Agent
2025,"Nov 5, 3:59 pm",add,Brock Purdy,QB,SF,Free Agent,Grease the Breece,Free Agent
2025,"Nov 5, 4:06 pm",add,Parker Washington,WR,Jax,Free Agent,Grease the Breece,Free Agent
2025,"Nov 6, 3:14 am",add,Theo Johnson,TE,NYG,Free Agent,Whole lotta Hurts,Free Agent
2025,"Nov 7, 3:27 am",add,Omarion Hampton,RB,LAC,Free Agent,Strength of Schedule 49ers,Trade
2025,"Nov 7, 3:27 am",add,Rashid Shaheed,WR,Sea,Free Agent,Strength of Schedule 49ers,Trade
2025,"Nov 7, 3:27 am",drop,Tez Johnson,WR,TB,Waivers,Grease the Breece,To Waivers
2025,"Nov 7, 3:27 am",add,TreVeyon Henderson,RB,NE,Free Agent,Grease the Breece,Trade
2025,"Nov 7, 3:27 am",add,Zay Flowers,WR,Bal,Free Agent,Grease the Breece,Trade
2025,"Nov 7, 4:19 pm",add,Cairo Santos,K,Chi,Free Agent,Dak to the Future,Free Agent
2025,"Nov 7, 4:37 am",add,Jason Myers,K,Sea,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Nov 8, 2:03 am",add,Jacory Croskey-Merritt,RB,Was,Free Agent,Whole lotta Hurts,Free Agent
2025,"Nov 8, 3:27 am",add,Baker Mayfield,QB,TB,Free Agent,Grease the Breece,Trade
2025,"Nov 8, 3:27 am",add,Detroit,DEF,Det,Waivers,Grease the Breece,Waiver
2025,"Nov 8, 3:27 am",add,Kenneth Walker III,RB,Sea,Free Agent,The Flea Flickers,Trade
2025,"Nov 8, 3:27 am",add,Los Angeles Rams,DEF,LAR,Waivers,Strength of Schedule 49ers,Waiver
2025,"Nov 8, 3:27 am",add,Trevor Lawrence,QB,Jax,Free Agent,The Flea Flickers,Trade
2025,"Nov 8, 3:27 am",add,Will Reichard,K,Min,Waivers,San Franshelfo 49ers,Waiver
2025,"Nov 8, 3:29 am",add,Pittsburgh,DEF,Pit,Free Agent,San Franshelfo 49ers,Free Agent
2025,"Nov 8, 7:49 pm",add,Cade Otton,TE,TB,Free Agent,Drake it til you make it,Free Agent
2025,"Nov 9, 1:12 pm",add,Brandon McManus,K,GB,Free Agent,My Ball Zach Ertz,Free Agent
